cd_nom	id_statut	id_habitat	id_rang	regne	phylum	classe	ordre	famille	sous_famille	tribu	cd_taxsup	cd_sup	cd_ref	lb_nom	lb_auteur	nom_complet	CD_NOM	CD_REF	Nom complet	nom_complet_html	nom_valide	nom_vern	nom_vern_eng	group1_inpn	group2_inpn	url
159484	P	3	ES	Plantae		Equisetopsida	Asparagales	Orchidaceae	Orchidoideae	Orchideae			110704	Ophrys saratoi	Camus	Ophrys saratoi Camus	110704	110704	Ophrys saratoi E.G.Camus, 1893	<i>Ophrys saratoi</i> Camus	Ophrys saratoi E.G.Camus, 1893	Ophrys du groupe bertolonii, Ophrys de la Drôme		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/159484
138551	P	7	SSES	Plantae		Equisetopsida	Ranunculales	Papaveraceae					718744	Papaver alpinum subsp. rhaeticum	sensu Kerguélen, 1993 non (Leresche) Nyman, 1878	Papaver alpinum subsp. rhaeticum sensu Kerguélen, 1993 non (Leresche) Nyman, 1878	1019754	1019754	Oreomecon alpina (L.) Banfi, Bartolucci, J.-M.Tison & Galasso, 2022 subsp. alpina	<i>Papaver alpinum </i>subsp.<i> rhaeticum</i> sensu Kerguélen, 1993 non (Leresche) Nyman, 1878	Papaver alpinum var. aurantiacum (Loisel.) B.Bock, 2012	Pavot velu du Ventoux		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/138551
112353	P	7	ES	Plantae		Equisetopsida	Ranunculales	Papaveraceae					718744	Papaver rhaeticum	sensu Tutin & al., 1964 non Leresche in Gremli, 1893	Papaver rhaeticum sensu Tutin & al., 1964 non Leresche in Gremli, 1893	1019754	1019754	Oreomecon alpina (L.) Banfi, Bartolucci, J.-M.Tison & Galasso, 2022 subsp. alpina	<i>Papaver rhaeticum</i> sensu Tutin & al., 1964 non Leresche <i>in</i> Gremli, 1893	Papaver alpinum var. aurantiacum (Loisel.) B.Bock, 2012	Pavot velu du Ventoux		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/112353
94798	P	7	ES	Plantae		Equisetopsida	Caryophyllales	Caryophyllaceae					112807	Dianthus prolifer	L., 1754	Dianthus prolifer L., 1754	94797	112808	Dianthus prolifer L., 1753	<i>Dianthus prolifer</i> L., 1754	Petrorhagia nanteuilii (Burnat) P.W.Ball & Heywood, 1964	Œillet de Nanteuil	Childing Pink	Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/94798
113390	P	7	ES	Plantae		Equisetopsida	Asterales	Campanulaceae					138765	Phyteuma orbiculare	L., 1754	Phyteuma orbiculare L., 1754	113389	113389	Phyteuma orbiculare L., 1753	<i>Phyteuma orbiculare</i> L., 1754	Phyteuma orbiculare subsp. tenerum (R.Schulz) Braun-Blanq., 1933	Raiponce orbiculaire, Raiponce délicate		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/113390
115695	P	7	ES	Plantae		Equisetopsida	Rosales	Rosaceae					115498	Potentilla verna	sensu L., 1753	Potentilla verna sensu L., 1753	115694	115694	Potentilla verna L., 1753 	<i>Potentilla verna</i> sensu L., 1753	Potentilla grandiflora L., 1753	Potentille à grandes fleurs		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/115695
162642	P	7	ES	Plantae		Equisetopsida	Boraginales	Boraginaceae					116426	Pulmonaria affinis	sensu 2	Pulmonaria affinis sensu 2	116407	116407	Pulmonaria affinis Jord., 1854	<i>Pulmonaria affinis</i> sensu 2	Pulmonaria saccharata Mill., 1768	Pulmonaire saupoudrée, Pulmonaire d'Italie	Bethlehem-sage	Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/162642
116744	P	3	ES	Plantae		Equisetopsida	Fagales	Fagaceae			197006	197006	116744	Quercus petraea	Liebl., 1784	Quercus petraea Liebl., 1784	521658	521658	Quercus petraea (Matt.) Liebl., 1784	<i>Quercus petraea</i> Liebl., 1784	Quercus petraea Liebl., 1784	Chêne sessile, Chêne rouvre, Chêne à trochets	Sessile Oak	Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/116744
121356	P	7	ES	Plantae		Equisetopsida	Dipsacales	Caprifoliaceae					140710	Scabiosa hyrcanica	Steven, 1856	Scabiosa hyrcanica Steven, 1856			VOIR AVEC ADELE – je ne trouve pas la donnée associée	<i>Scabiosa hyrcanica</i> Steven, 1856	Scabiosa columbaria subsp. columbaria L., 1753	Scabieuse Colombaire		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/121356
125493	P	7	ES	Plantae		Equisetopsida	Asterales	Asteraceae			198226	198226	125493	Taraxacum alpinum	(Hoppe) Hegetschw., 1839	Taraxacum alpinum (Hoppe) Hegetschw., 1839			VOIR AVEC ADELE – données plus d’un siècle	<i>Taraxacum alpinum</i> (Hoppe) Hegetschw., 1839	Taraxacum alpinum (Hoppe) Hegetschw., 1839			Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/125493
159832	P	7	ES	Plantae		Equisetopsida	Asterales	Asteraceae					141545	Senecio aurantiacus	sensu DC., 1838 non (Willd.) Less., 1834	Senecio aurantiacus sensu DC., 1838 non (Willd.) Less., 1834	122552	141545	Senecio aurantiacus auct. non (Hoppe ex Willd.) Less., 1834	<i>Senecio aurantiacus</i> sensu DC., 1838 non (Willd.) Less., 1834	Tephroseris integrifolia subsp. capitata (Wahlenb.) B.Nord., 1978	Séneçon à têtes		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/159832
615204	P	7	ES	Plantae		Equisetopsida	Asterales	Asteraceae					141545	Senecio aurantiacus	auct. non (Willd.) Less., 1834	Senecio aurantiacus auct. non (Willd.) Less., 1834	122552	141545	Senecio aurantiacus auct. non (Hoppe ex Willd.) Less., 1834	<i>Senecio aurantiacus</i> auct. non (Willd.) Less., 1834	Tephroseris integrifolia subsp. capitata (Wahlenb.) B.Nord., 1978	Séneçon à têtes		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/615204
141735	P	7	SSES	Plantae		Equisetopsida	Lamiales	Lamiaceae	Nepetoideae	Mentheae			126555	Thymus serpyllum subsp. glabrescens	sensu P.Fourn., 1938	Thymus serpyllum subsp. glabrescens sensu P.Fourn., 1938			VOIR AVEC ADELE – je ne trouve pas la donnée associée	<i>Thymus serpyllum </i>subsp.<i> glabrescens</i> sensu P.Fourn., 1938	Thymus oenipontanus Heinr.Braun, 1891	Thym glabrescent, Thym d'Innsbruck		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/141735
159898	P	7	ES	Plantae		Equisetopsida	Polypodiales	Aspleniaceae					131859	Asplenium quadrivallens	D.E.Mey.	Asplenium quadrivallens D.E.Mey.			VOIR AVEC ADELE – voir avec CBN / donnée Salanon 2010	<i>Asplenium quadrivallens</i> D.E.Mey.	Asplenium trichomanes subsp. quadrivalens D.E.Mey., 1964	Capillaire, Doradille fausse-capillaire		Plantes vasculaires	Fougères	https://inpn.mnhn.fr/espece/cd_nom/159898
772153	P	7	ES	Plantae		Equisetopsida	Selaginellales	Selaginellaceae					122308	Selaginella spinulosa	A.Braun ex Döll	Selaginella spinulosa A.Braun ex Döll	122310	122308	Selaginella spinulosa A.Braun, 1843	<i>Selaginella spinulosa</i> A.Braun ex Döll	Selaginella selaginoides (L.) P.Beauv. ex Schrank & Mart., 1829	Selaginelle fausse sélaginelle, Sélaginelle épineuse	Lesser Clubmoss	Plantes vasculaires	Fougères	https://inpn.mnhn.fr/espece/cd_nom/772153
113709	P	3	ES	Plantae		Equisetopsida	Pinales	Pinaceae					138840	Pinus uncinata	Mill. ex Mirb., 1805	Pinus uncinata Mill. ex Mirb., 1805	113708	138840	Pinus uncinata Ramond ex DC., 1805	<i>Pinus uncinata</i> Mill. ex Mirb., 1805	Pinus mugo subsp. uncinata (Ramond ex DC.) Domin, 1936	Pin à crochets		Plantes vasculaires	Gymnospermes	https://inpn.mnhn.fr/espece/cd_nom/113709
